Transaction ID, Account Number, Amount, Status, Description, Timestamp
TXN2024062159,123456789,50.00,Success,Online purchase,2024-06-26 17:45:00
TXN2024062160,987654321,-300.00,Success,Payment to credit card,2024-06-26 18:00:00
TXN2024062161,987654321,-50.00,Success,Small loan repayment,2024-06-27 02:00:00
TXN2024062162,123456789,300.00,Success,Transfer to sibling,2024-06-27 03:15:00
TXN2024062163,987654321,400.00,Success,Interest received,2024-06-27 04:30:00
TXN2024062164,123456789,-100.00,Success,Dining expense,2024-06-27 05:45:00
TXN2024062165,987654321,700.00,Success,Gift from colleague,2024-06-27 06:00:00
TXN2024062166,123456789,800.00,Success,Home loan installment,2024-06-27 07:15:00
TXN2024062167,987654321,-200.00,Success,Car loan repayment,2024-06-27 08:30:00
TXN2024062168,123456789,600.00,Success,Travel booking,2024-06-27 09:45:00
TXN2024062169,987654321,300.00,Success,Insurance premium payment,2024-06-27 10:00:00
TXN2024062170,123456789,-250.00,Success,Healthcare expense,2024-06-27 11:15:00

